a52dec 0.8.0-2
haskell-indexed-traversable-instances 0.1.1.2-40
haskell-integer-logarithms 1.0.3.1-7
haskell-onetuple 0.3.1-74
haskell-primitive 0.7.4.0-109
haskell-quickcheck 2.14.3-62
haskell-random 1.2.1.2-6
haskell-regex-base 0.94.0.2-3
haskell-regex-tdfa 1.3.2.2-40
haskell-scientific 0.3.7.0-112
haskell-semialign 1.2.0.1-156
haskell-semigroupoids 5.3.7-138
haskell-splitmix 0.1.0.5-20
haskell-statevar 1.2.2-3
haskell-strict 0.4.0.1-232
haskell-tagged 0.8.8-2
haskell-text-short 0.1.5-78
haskell-th-abstraction 0.4.5.0-2
haskell-these 1.1.1.1-259
haskell-time-compat 1.9.6.1-96
haskell-transformers-compat 0.7.2-2
haskell-unordered-containers 0.2.20-14
haskell-uuid-types 1.0.5.1-15
haskell-vector 0.13.1.0-28
haskell-vector-stream 0.1.0.1-2
haskell-witherable 0.4.2-97
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
http-parser 2.9.4-2
hunspell 1.7.2-1
hwdata 0.381-1
hyprcursor 0.1.7-1
hyprland 0.38.1-1
hyprlang 0.5.0-1
hyprpaper 0.6.0-4
i2c-tools 4.3-4
iana-etc 20240222-1
ibus 1.5.29-4
ibus-hangul 1.5.5-1
icu 74.2-2
imath 3.1.11-1
inotify-tools 4.23.9.0-1
intel-ucode 20240312-1
iproute2 6.8.0-1
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jack2 1.9.22-1
jansson 2.14-3
java-environment-common 3-5
java-runtime-common 3-5
jbigkit 2.1-7
jdk-openjdk 22.u36-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kaccounts-integration 24.02.2-1
kactivitymanagerd 6.0.3-1
karchive 6.0.0-1
karchive5 5.115.0-1
kauth 6.0.0-2
kauth5 5.115.0-1
kbd 2.6.4-1
kbookmarks 6.0.0-1
kbookmarks5 5.115.0-1
kcmutils 6.0.0-2
kcmutils5 5.115.0-1
kcodecs 6.0.0-1
kcodecs5 5.115.0-1
kcolorchooser 24.02.2-1
kcolorscheme 6.0.0-1
kcompletion 6.0.0-1
kcompletion5 5.115.0-1
kconfig 6.0.0-1
kconfig5 5.115.0-1
kconfigwidgets 6.0.0-1
kconfigwidgets5 5.115.0-1
kcoreaddons 6.0.0-1
kcoreaddons5 5.115.0-1
kcrash 6.0.0-1
kcrash5 5.115.0-1
kdbusaddons 6.0.0-1
kdbusaddons5 5.115.0-1
kde-cli-tools 6.0.3-1
kde-dev-scripts 24.02.2-1
kde-dev-utils 24.02.2-1
kde-gtk-config 6.0.3-2
kdeclarative 6.0.0-1
kdeclarative5 5.115.0-1
kdecoration 6.0.3-1
kded 6.0.0-1
kded5 5.115.0-1
kdeplasma-addons 6.0.3-1
kdesu 6.0.0-1
kdevelop 24.02.2-1
kdevelop-python 24.02.2-1
kdnssd 6.0.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-2
kfilemetadata 6.0.0-2
